,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
11149,OI,CE,set,2018,2,1,36,2,0,1,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,2,1700,1.657327825,0,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11150,TIM,CE,set,2018,2,1,53,2,0,1,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,9000,2.307515945,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11151,OI,CE,set,2018,2,1,40,2,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,2200,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11152,OI,CE,set,2018,2,1,38,2,0,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,1200,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11153,OI,CE,set,2018,2,1,50,1,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,1,500,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11154,OI,CE,set,2018,2,1,30,2,1,1,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,1500,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11155,OI,CE,set,2018,2,1,30,1,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,1000,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11156,OI,CE,set,2018,2,1,51,2,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,5,1000,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11157,OI,CE,set,2018,2,1,54,1,0,0,0,0,0,0,1,1,0,0,FORTALEZA,2304400.0,1,800,1.657327825,0,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11158,OI,CE,set,2018,2,1,48,2,0,1,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,3,2000,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
